id_resposta;data_resposta;cidade;idade;canal_atendimento;nota_satisfacao;nota_atendimento;nota_preco;recomendaria;tempo_cliente_meses;comentario;tema_comentario;sentimento_comentario
67;2026-04-13;Campinas;62;Telefone;4.0;3;3;Não;88;Ótima experiência do início ao fim.;Experiência excelente;Positivo
341;2026-04-04;São Paulo;21;E-mail;4.0;4;3;Não;48;;Sem comentário;Sem comentário
29;2026-04-03;Curitiba;43;Loja física;3.0;3;4;Não;6;Ótima experiência do início ao fim.;Experiência excelente;Positivo
206;2026-05-20;São Paulo;20;E-mail;4.0;4;4;Não;67;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
346;2026-05-03;Belo Horizonte;44;Loja física;5.0;4;1;Não;3;Tudo certo.;Tudo certo;Neutro
161;2026-04-13;Belo Horizonte;;E-mail;4.0;3;1;Sim;53;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
70;2026-05-06;Brasília;67;WhatsApp;4.0;4;5;Sim;76;Preço alto comparado à concorrência.;Preço alto;Negativo
262;2026-05-16;Rio de Janeiro;61;Loja física;4.0;4;4;Sim;23;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
182;2026-04-01;Fortaleza;20;Telefone;5.0;3;2;Sim;47;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
265;2026-04-02;Curitiba;71;Chat;4.0;3;2;Não;77;Tudo certo.;Tudo certo;Neutro
184;2026-05-17;Salvador;59;E-mail;3.0;3;3;Sim;95;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
313;2026-04-01;Salvador;64;E-mail;3.0;4;3;Não;88;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
319;2026-04-25;Campinas;22;Chat;4.0;5;3;Sim;51;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
233;2026-05-02;Porto Alegre;64;WhatsApp;4.0;3;4;Sim;96;Muito satisfeito com a solução.;Solução satisfatória;Positivo
115;2026-05-27;Salvador;69;WhatsApp;4.0;4;2;Sim;29;;Sem comentário;Sem comentário
354;2026-04-05;Brasília;73;Telefone;3.0;4;1;Sim;51;Ótima experiência do início ao fim.;Experiência excelente;Positivo
213;2026-05-17;Belo Horizonte;47;Chat;5.0;5;1;Sim;93;;Sem comentário;Sem comentário
200;2026-05-13;Belo Horizonte;70;Loja física;3.0;3;3;Sim;21;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
181;2026-05-14;São Paulo;22;Chat;5.0;4;4;Sim;87;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
71;2026-04-11;Porto Alegre;74;E-mail;4.0;5;4;Não;79;;Sem comentário;Sem comentário
38;2026-05-02;Brasília;27;E-mail;;4;5;Não;6;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
142;2026-05-08;São Paulo;18;Chat;5.0;5;5;Sim;33;Preço alto comparado à concorrência.;Preço alto;Negativo
391;2026-05-13;Belo Horizonte;64;WhatsApp;5.0;5;3;Não;54;Tudo certo.;Tudo certo;Neutro
315;2026-04-26;Porto Alegre;59;E-mail;5.0;5;5;Não;93;Ótima experiência do início ao fim.;Experiência excelente;Positivo
236;2026-04-13;Brasília;26;Telefone;4.0;3;5;Não;51;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
31;2026-05-08;Belo Horizonte;60;WhatsApp;4.0;5;2;Sim;2;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
402;2026-05-04;Campinas;37;Telefone;4.0;4;3;Não;38;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
69;2026-04-11;Fortaleza;24;Chat;2.0;1;4;Sim;20;Tudo certo.;Tudo certo;Neutro
254;2026-04-18;São Paulo;71;Telefone;5.0;5;3;Não;18;;Sem comentário;Sem comentário
280;2026-05-13;São Paulo;68;Loja física;3.0;4;3;Sim;14;Muito satisfeito com a solução.;Solução satisfatória;Positivo
371;2026-05-18;Curitiba;48;Telefone;4.0;4;4;Sim;5;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
41;2026-04-09;Rio de Janeiro;42;WhatsApp;5.0;4;5;Não;45;Preço alto comparado à concorrência.;Preço alto;Negativo
18;2026-05-17;Brasília;66;Chat;3.0;2;4;Sim;84;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
375;2026-05-19;Recife;27;Loja física;5.0;4;5;Sim;14;Ótima experiência do início ao fim.;Experiência excelente;Positivo
283;2026-05-12;Campinas;62;E-mail;4.0;5;2;Sim;62;Demorou demais para me atenderem.;Demora no atendimento;Negativo
291;2026-05-27;Campinas;23;Chat;4.0;3;1;Não;15;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
241;2026-04-10;Campinas;38;Loja física;4.0;3;1;Não;31;Preço alto comparado à concorrência.;Preço alto;Negativo
413;2026-04-24;São Paulo;18;E-mail;5.0;5;4;Não;80;Preço alto comparado à concorrência.;Preço alto;Negativo
393;2026-05-21;Salvador;50;E-mail;2.0;2;2;Sim;38;Demorou demais para me atenderem.;Demora no atendimento;Negativo
143;2026-04-11;Fortaleza;65;E-mail;3.0;4;4;Não;91;Muito satisfeito com a solução.;Solução satisfatória;Positivo
101;2026-05-11;Recife;42;WhatsApp;3.0;3;4;Sim;65;Ótima experiência do início ao fim.;Experiência excelente;Positivo
245;2026-05-26;Brasília;44;Loja física;4.0;3;4;Não;32;Preço alto comparado à concorrência.;Preço alto;Negativo
238;2026-04-12;Curitiba;74;Telefone;4.0;4;3;Não;79;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
42;2026-04-27;São Paulo;60;WhatsApp;2.0;2;5;Não;45;;Sem comentário;Sem comentário
177;2026-04-25;Salvador;73;Chat;4.0;3;4;Não;56;Tudo certo.;Tudo certo;Neutro
30;2026-05-03;Campinas;54;Chat;4.0;4;4;Sim;86;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
395;2026-05-08;Porto Alegre;44;Chat;5.0;4;2;Não;60;Demorou demais para me atenderem.;Demora no atendimento;Negativo
359;2026-05-03;São Paulo;34;E-mail;5.0;5;1;Não;33;Demorou demais para me atenderem.;Demora no atendimento;Negativo
415;2026-05-23;Belo Horizonte;25;Telefone;3.0;2;2;Sim;14;Tudo certo.;Tudo certo;Neutro
299;2026-04-12;Rio de Janeiro;67;E-mail;5.0;5;3;Não;89;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
231;2026-04-17;Brasília;27;Chat;3.0;4;2;Não;15;;Sem comentário;Sem comentário
250;2026-05-04;Curitiba;41;WhatsApp;;3;1;Sim;95;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
286;2026-05-01;Rio de Janeiro;61;E-mail;3.0;2;4;Não;21;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
66;2026-04-20;Porto Alegre;24;Telefone;4.0;3;3;Não;87;Tudo certo.;Tudo certo;Neutro
176;2026-04-07;São Paulo;38;Loja física;2.0;1;3;Não;33;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
156;2026-05-03;Brasília;61;Chat;4.0;4;4;Sim;78;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
187;2026-04-12;Brasília;36;E-mail;4.0;4;3;Sim;82;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
95;2026-05-23;São Paulo;;E-mail;5.0;4;5;Não;71;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
173;2026-05-21;Porto Alegre;65;Chat;4.0;3;3;Não;31;;Sem comentário;Sem comentário
11;2026-05-18;Campinas;45;WhatsApp;3.0;4;3;Sim;66;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
377;2026-05-20;Belo Horizonte;35;E-mail;4.0;4;3;Sim;89;Tudo certo.;Tudo certo;Neutro
195;2026-04-02;São Paulo;59;Chat;4.0;5;3;Não;54;Ótima experiência do início ao fim.;Experiência excelente;Positivo
347;2026-05-26;Brasília;68;Chat;4.0;5;5;Não;42;Tudo certo.;Tudo certo;Neutro
232;2026-05-07;Brasília;46;WhatsApp;4.0;4;3;Não;59;Ótima experiência do início ao fim.;Experiência excelente;Positivo
4;2026-05-11;Curitiba;66;Telefone;4.0;4;2;Sim;46;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
43;2026-05-17;Brasília;39;Telefone;3.0;3;3;Não;23;Ótima experiência do início ao fim.;Experiência excelente;Positivo
337;2026-04-05;Rio de Janeiro;28;WhatsApp;5.0;5;5;Sim;69;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
218;2026-04-05;Campinas;33;Telefone;5.0;5;2;Não;29;;Sem comentário;Sem comentário
311;2026-05-23;Recife;62;WhatsApp;3.0;5;1;Não;12;Demorou demais para me atenderem.;Demora no atendimento;Negativo
330;2026-05-25;Rio de Janeiro;53;Telefone;5.0;5;3;Não;73;Preço alto comparado à concorrência.;Preço alto;Negativo
242;2026-04-05;Porto Alegre;35;Loja física;5.0;5;3;Sim;23;;Sem comentário;Sem comentário
229;2026-05-05;Campinas;41;Loja física;2.0;3;3;Sim;28;Muito satisfeito com a solução.;Solução satisfatória;Positivo
175;2026-05-15;Belo Horizonte;69;Telefone;3.0;3;2;Não;5;Preço alto comparado à concorrência.;Preço alto;Negativo
14;2026-05-10;Fortaleza;18;Loja física;4.0;5;3;Não;14;;Sem comentário;Sem comentário
210;2026-04-24;Fortaleza;28;Loja física;4.0;4;4;Não;19;;Sem comentário;Sem comentário
158;2026-05-18;Salvador;70;Loja física;1.0;1;5;Não;47;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
310;2026-04-01;Rio de Janeiro;26;E-mail;4.0;5;3;Não;2;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
277;2026-04-19;Brasília;29;Telefone;3.0;3;1;Não;91;Muito satisfeito com a solução.;Solução satisfatória;Positivo
380;2026-05-09;Rio de Janeiro;30;E-mail;2.0;2;4;Não;67;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
162;2026-04-22;Campinas;36;E-mail;4.0;3;1;Não;61;Muito satisfeito com a solução.;Solução satisfatória;Positivo
216;2026-05-13;Belo Horizonte;36;Chat;4.0;2;3;Sim;45;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
109;2026-05-03;Campinas;37;Chat;3.0;2;4;Não;26;Tudo certo.;Tudo certo;Neutro
263;2026-04-01;Belo Horizonte;66;Telefone;5.0;5;3;Não;31;Ótima experiência do início ao fim.;Experiência excelente;Positivo
334;2026-04-03;Brasília;44;WhatsApp;4.0;5;4;Sim;75;Demorou demais para me atenderem.;Demora no atendimento;Negativo
36;2026-04-09;Recife;71;Telefone;;5;3;Sim;82;Preço alto comparado à concorrência.;Preço alto;Negativo
205;2026-04-22;Rio de Janeiro;43;Chat;4.0;3;5;Não;19;Muito satisfeito com a solução.;Solução satisfatória;Positivo
100;2026-05-18;Salvador;73;E-mail;4.0;5;4;Sim;53;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
305;2026-05-21;Brasília;43;WhatsApp;4.0;5;3;Não;35;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
363;2026-04-18;Campinas;57;Telefone;5.0;5;3;Sim;22;Ótima experiência do início ao fim.;Experiência excelente;Positivo
113;2026-05-10;Campinas;41;Telefone;3.0;3;3;Não;96;Tudo certo.;Tudo certo;Neutro
174;2026-04-21;Salvador;26;Chat;5.0;4;4;Sim;23;;Sem comentário;Sem comentário
129;2026-04-22;Fortaleza;22;Chat;3.0;3;3;Sim;17;Preço alto comparado à concorrência.;Preço alto;Negativo
190;2026-05-17;Campinas;22;Chat;3.0;2;3;Não;60;;Sem comentário;Sem comentário
392;2026-04-13;Campinas;70;Chat;4.0;3;3;Sim;88;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
302;2026-05-05;Porto Alegre;73;E-mail;5.0;5;3;Sim;42;Muito satisfeito com a solução.;Solução satisfatória;Positivo
148;2026-05-25;Belo Horizonte;33;E-mail;4.0;2;3;Sim;78;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
279;2026-04-22;Recife;68;Telefone;4.0;4;5;Não;62;Ótima experiência do início ao fim.;Experiência excelente;Positivo
292;2026-04-12;Recife;;E-mail;3.0;3;5;Não;24;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
99;2026-05-10;Campinas;60;E-mail;4.0;3;4;Não;45;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
119;2026-04-04;São Paulo;37;Telefone;4.0;3;3;Não;18;Tudo certo.;Tudo certo;Neutro
365;2026-05-09;Curitiba;24;WhatsApp;5.0;5;4;Não;20;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
420;2026-05-28;Belo Horizonte;22;Chat;4.0;3;3;Não;7;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
204;2026-04-02;Brasília;36;WhatsApp;5.0;5;3;Não;36;Ótima experiência do início ao fim.;Experiência excelente;Positivo
378;2026-05-02;Curitiba;21;Chat;4.0;5;4;Sim;44;Preço alto comparado à concorrência.;Preço alto;Negativo
61;2026-05-26;Belo Horizonte;71;E-mail;4.0;3;2;Não;4;Tudo certo.;Tudo certo;Neutro
409;2026-05-07;Curitiba;40;Chat;4.0;4;3;Não;64;Muito satisfeito com a solução.;Solução satisfatória;Positivo
335;2026-04-17;Recife;22;Loja física;4.0;3;4;Sim;17;Muito satisfeito com a solução.;Solução satisfatória;Positivo
152;2026-04-03;Campinas;50;WhatsApp;4.0;4;2;Sim;6;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
170;2026-04-15;Fortaleza;56;Telefone;3.0;3;2;Não;31;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
12;2026-04-03;Belo Horizonte;58;WhatsApp;3.0;4;2;Não;49;Ótima experiência do início ao fim.;Experiência excelente;Positivo
418;2026-04-17;Salvador;51;Loja física;5.0;3;3;Sim;94;Muito satisfeito com a solução.;Solução satisfatória;Positivo
201;2026-05-17;Porto Alegre;49;Telefone;5.0;4;4;Não;59;Muito satisfeito com a solução.;Solução satisfatória;Positivo
223;2026-05-21;Brasília;47;E-mail;4.0;5;1;Não;21;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
266;2026-05-25;Porto Alegre;68;WhatsApp;5.0;5;4;Não;49;Tudo certo.;Tudo certo;Neutro
127;2026-04-04;Fortaleza;67;Loja física;5.0;4;2;Não;65;Muito satisfeito com a solução.;Solução satisfatória;Positivo
128;2026-04-20;Brasília;37;Telefone;3.0;1;2;Não;52;Tudo certo.;Tudo certo;Neutro
257;2026-05-24;Porto Alegre;19;WhatsApp;3.0;4;4;Sim;14;Demorou demais para me atenderem.;Demora no atendimento;Negativo
58;2026-05-15;Curitiba;71;WhatsApp;3.0;3;3;Não;90;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
131;2026-04-28;Fortaleza;74;WhatsApp;3.0;3;1;Não;52;Tudo certo.;Tudo certo;Neutro
227;2026-04-24;Salvador;62;Telefone;5.0;5;4;Não;40;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
329;2026-04-17;Curitiba;69;Telefone;4.0;3;5;Sim;60;Preço alto comparado à concorrência.;Preço alto;Negativo
75;2026-04-13;Campinas;41;Loja física;5.0;4;2;Não;96;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
215;2026-05-23;Fortaleza;40;Chat;4.0;3;3;Não;87;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
107;2026-04-06;Recife;57;WhatsApp;4.0;4;3;Sim;30;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
92;2026-05-14;Recife;70;Telefone;4.0;3;4;Não;33;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
316;2026-04-10;Porto Alegre;31;Loja física;3.0;2;2;Sim;51;Preço alto comparado à concorrência.;Preço alto;Negativo
351;2026-04-19;Salvador;54;E-mail;3.0;3;4;Sim;64;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
5;2026-05-20;Fortaleza;52;WhatsApp;4.0;2;1;Não;81;Ótima experiência do início ao fim.;Experiência excelente;Positivo
24;2026-04-14;Fortaleza;33;WhatsApp;3.0;3;5;Não;13;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
306;2026-05-27;Brasília;54;Loja física;4.0;4;3;Não;88;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
271;2026-04-13;Brasília;75;Loja física;4.0;4;5;Sim;49;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
180;2026-05-10;Recife;28;Chat;3.0;4;2;Sim;46;Ótima experiência do início ao fim.;Experiência excelente;Positivo
2;2026-05-03;São Paulo;23;E-mail;5.0;5;3;Sim;72;Muito satisfeito com a solução.;Solução satisfatória;Positivo
217;2026-05-21;Fortaleza;31;Loja física;4.0;5;5;Não;90;Preço alto comparado à concorrência.;Preço alto;Negativo
191;2026-05-17;Brasília;58;E-mail;4.0;5;3;Sim;56;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
40;2026-04-28;Recife;19;Chat;3.0;4;4;Não;86;Muito satisfeito com a solução.;Solução satisfatória;Positivo
112;2026-05-26;Curitiba;57;E-mail;3.0;4;3;Sim;83;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
278;2026-05-15;Rio de Janeiro;70;WhatsApp;3.0;2;2;Não;31;Preço alto comparado à concorrência.;Preço alto;Negativo
55;2026-05-24;Porto Alegre;66;Chat;5.0;4;4;Não;63;;Sem comentário;Sem comentário
105;2026-04-14;Rio de Janeiro;46;Chat;5.0;5;5;Sim;42;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
281;2026-05-22;Campinas;20;WhatsApp;4.0;5;2;Não;56;Demorou demais para me atenderem.;Demora no atendimento;Negativo
165;2026-04-10;Porto Alegre;46;E-mail;4.0;3;5;Sim;29;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
106;2026-05-10;Recife;27;Loja física;4.0;5;3;Sim;24;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
86;2026-05-08;Campinas;60;WhatsApp;3.0;4;2;Sim;83;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
269;2026-04-04;Belo Horizonte;45;Loja física;3.0;3;3;Não;14;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
376;2026-04-25;Brasília;74;WhatsApp;3.0;3;2;Sim;63;Ótima experiência do início ao fim.;Experiência excelente;Positivo
172;2026-05-17;Brasília;52;Loja física;3.0;3;4;Não;61;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
252;2026-04-19;Brasília;59;Chat;5.0;4;5;Não;93;;Sem comentário;Sem comentário
153;2026-04-26;Campinas;48;E-mail;4.0;3;2;Não;14;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
167;2026-05-01;Salvador;68;E-mail;;2;4;Não;90;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
7;2026-04-28;Porto Alegre;47;E-mail;3.0;2;5;Sim;86;Preço alto comparado à concorrência.;Preço alto;Negativo
336;2026-05-10;Recife;62;Chat;4.0;5;4;Sim;10;Muito satisfeito com a solução.;Solução satisfatória;Positivo
91;2026-05-14;Fortaleza;40;Chat;5.0;4;4;Sim;21;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
353;2026-05-01;Curitiba;69;Chat;4.0;5;4;Não;8;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
157;2026-04-11;Belo Horizonte;40;WhatsApp;3.0;3;3;Sim;11;Preço alto comparado à concorrência.;Preço alto;Negativo
259;2026-05-12;Campinas;33;Chat;4.0;3;2;Sim;84;;Sem comentário;Sem comentário
