id_avaliacao;data_avaliacao;mes_referencia;id_cliente;nota_nps;canal;dispositivo;categoria_compra;valor_pedido;uf;primeiro_pedido;arquivo_origem
202604-00230;2026-04-03;2026-04;C19595;9;site;iOS;Mercado;89.58;DF;Nao;nps_ecommerce_2026-04.csv
202604-00269;2026-04-03;2026-04;C17130;8;app;Desktop;Mercado;69.6;SP;Sim;nps_ecommerce_2026-04.csv
202604-00278;2026-04-03;2026-04;C14496;6;marketplace;Android;Beleza;65.12;MG;Nao;nps_ecommerce_2026-04.csv
202604-00303;2026-04-03;2026-04;C38063;10;site;Android;Mercado;37.95;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00326;2026-04-03;2026-04;C13956;10;site;Android;Moda;579.35;BA;Nao;nps_ecommerce_2026-04.csv
202604-00360;2026-04-03;2026-04;C12627;7;app;iOS;Eletrônicos;161.57;CE;Sim;nps_ecommerce_2026-04.csv
202604-00378;2026-04-03;2026-04;C17067;8;marketplace;Android;Beleza;106.09;DF;Nao;nps_ecommerce_2026-04.csv
202604-00459;2026-04-03;2026-04;C21529;4;site;Android;Esporte;138.29;DF;Nao;nps_ecommerce_2026-04.csv
202604-00477;2026-04-03;2026-04;C20397;9;marketplace;Android;Casa E Decoração;88.55;MG;Sim;nps_ecommerce_2026-04.csv
202604-00495;2026-04-03;2026-04;C11325;8;app;Desktop;Livros;231.63;PE;Sim;nps_ecommerce_2026-04.csv
202604-00532;2026-04-03;2026-04;C12778;9;site;Android;Mercado;392.35;DF;Sim;nps_ecommerce_2026-04.csv
202604-00579;2026-04-03;2026-04;C35798;9;site;Android;Esporte;154.22;DF;Sim;nps_ecommerce_2026-04.csv
202604-00591;2026-04-03;2026-04;C38839;10;app;iOS;Livros;319.58;BA;Sim;nps_ecommerce_2026-04.csv
202604-00592;2026-04-03;2026-04;C18191;4;marketplace;iOS;Eletrônicos;196.92;PE;Sim;nps_ecommerce_2026-04.csv
202604-00620;2026-04-03;2026-04;C15486;9;site;Android;Livros;154.17;SP;Nao;nps_ecommerce_2026-04.csv
202604-00700;2026-04-03;2026-04;C19605;7;marketplace;iOS;Eletrônicos;178.98;MG;Nao;nps_ecommerce_2026-04.csv
202604-00717;2026-04-03;2026-04;C31102;7;marketplace;Desktop;Livros;110.59;SP;Nao;nps_ecommerce_2026-04.csv
202604-00729;2026-04-03;2026-04;C27296;9;site;iOS;Moda;225.8;PE;Nao;nps_ecommerce_2026-04.csv
202604-00745;2026-04-03;2026-04;C14086;8;marketplace;Android;Esporte;105.31;SP;Sim;nps_ecommerce_2026-04.csv
202604-00764;2026-04-03;2026-04;C15410;7;app;iOS;Casa E Decoração;49.04;PR;Nao;nps_ecommerce_2026-04.csv
202604-00006;2026-04-04;2026-04;C34881;10;site;iOS;Casa E Decoração;186.12;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00021;2026-04-04;2026-04;C30188;7;app;Android;Mercado;243.33;CE;Sim;nps_ecommerce_2026-04.csv
202604-00097;2026-04-04;2026-04;C36310;8;site;iOS;Esporte;750.83;BA;Nao;nps_ecommerce_2026-04.csv
202604-00143;2026-04-04;2026-04;C35170;6;site;Android;Beleza;168.7;SP;Sim;nps_ecommerce_2026-04.csv
202604-00204;2026-04-04;2026-04;C14310;6;app;Android;Esporte;85.34;PR;Nao;nps_ecommerce_2026-04.csv
202604-00215;2026-04-04;2026-04;C15890;9;app;Desktop;Livros;101.37;DF;Sim;nps_ecommerce_2026-04.csv
202604-00246;2026-04-04;2026-04;C22262;2;site;Android;Eletrônicos;195.3;MG;Nao;nps_ecommerce_2026-04.csv
202604-00308;2026-04-04;2026-04;C14714;10;app;Android;Esporte;322.78;CE;Sim;nps_ecommerce_2026-04.csv
202604-00309;2026-04-04;2026-04;C11142;6;marketplace;Android;Casa E Decoração;104.96;RS;Nao;nps_ecommerce_2026-04.csv
202604-00313;2026-04-04;2026-04;C28587;8;app;Desktop;Casa E Decoração;147.84;CE;Nao;nps_ecommerce_2026-04.csv
202604-00316;2026-04-04;2026-04;C30664;9;app;Android;Livros;122.06;PE;Nao;nps_ecommerce_2026-04.csv
202604-00391;2026-04-04;2026-04;C27511;7;app;Desktop;Eletrônicos;91.24;BA;Sim;nps_ecommerce_2026-04.csv
202604-00394;2026-04-04;2026-04;C36831;8;app;iOS;Casa E Decoração;120.72;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00402;2026-04-04;2026-04;C36856;8;site;iOS;Moda;113.04;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00406;2026-04-04;2026-04;C25266;10;app;iOS;Mercado;288.67;BA;Nao;nps_ecommerce_2026-04.csv
202604-00430;2026-04-04;2026-04;C32638;2;site;iOS;Esporte;106.3;CE;Nao;nps_ecommerce_2026-04.csv
202604-00483;2026-04-04;2026-04;C21455;7;app;Desktop;Moda;306.41;MG;Sim;nps_ecommerce_2026-04.csv
202604-00499;2026-04-04;2026-04;C25225;9;site;Android;Casa E Decoração;90.51;PE;Nao;nps_ecommerce_2026-04.csv
202604-00510;2026-04-04;2026-04;C30657;10;app;Android;Beleza;167.97;SP;Nao;nps_ecommerce_2026-04.csv
202604-00544;2026-04-04;2026-04;C20742;7;site;iOS;Mercado;66.42;PR;Nao;nps_ecommerce_2026-04.csv
202604-00550;2026-04-04;2026-04;C13960;4;site;iOS;Esporte;161.75;PE;Sim;nps_ecommerce_2026-04.csv
202604-00581;2026-04-04;2026-04;C25161;10;app;iOS;Eletrônicos;275.53;SP;Sim;nps_ecommerce_2026-04.csv
202604-00584;2026-04-04;2026-04;C38505;10;app;Android;Moda;116.33;PE;Sim;nps_ecommerce_2026-04.csv
202604-00608;2026-04-04;2026-04;C24886;9;app;Desktop;Beleza;201.36;MG;Sim;nps_ecommerce_2026-04.csv
202604-00616;2026-04-04;2026-04;C14732;7;marketplace;iOS;Moda;74.98;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00628;2026-04-04;2026-04;C13885;7;site;iOS;Moda;152.86;PR;Nao;nps_ecommerce_2026-04.csv
202604-00652;2026-04-04;2026-04;C22082;5;marketplace;iOS;Mercado;145.3;DF;Nao;nps_ecommerce_2026-04.csv
202604-00687;2026-04-04;2026-04;C22609;9;app;iOS;Mercado;151.1;SP;Nao;nps_ecommerce_2026-04.csv
202604-00713;2026-04-04;2026-04;C25799;9;app;iOS;Moda;151.61;CE;Sim;nps_ecommerce_2026-04.csv
202604-00714;2026-04-04;2026-04;C24250;9;site;iOS;Casa E Decoração;41.48;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00740;2026-04-04;2026-04;C20657;10;app;Desktop;Mercado;220.92;MG;Sim;nps_ecommerce_2026-04.csv
202604-00757;2026-04-04;2026-04;C27332;7;site;Android;Casa E Decoração;41.1;CE;Nao;nps_ecommerce_2026-04.csv
202604-00777;2026-04-04;2026-04;C24371;10;site;Android;Moda;97.04;RS;Nao;nps_ecommerce_2026-04.csv
202604-00780;2026-04-04;2026-04;C23798;8;marketplace;Android;Livros;31.52;RS;Sim;nps_ecommerce_2026-04.csv
202604-00020;2026-04-05;2026-04;C37504;7;marketplace;Android;Moda;152.2;RS;Sim;nps_ecommerce_2026-04.csv
202604-00047;2026-04-05;2026-04;C15274;9;app;Android;Casa E Decoração;206.73;DF;Sim;nps_ecommerce_2026-04.csv
202604-00050;2026-04-05;2026-04;C31997;4;marketplace;iOS;Esporte;138.15;BA;Sim;nps_ecommerce_2026-04.csv
202604-00114;2026-04-05;2026-04;C36215;4;marketplace;iOS;Mercado;35.43;PR;Sim;nps_ecommerce_2026-04.csv
202604-00115;2026-04-05;2026-04;C39270;5;app;Android;Livros;294.07;CE;Nao;nps_ecommerce_2026-04.csv
202604-00171;2026-04-05;2026-04;C39174;7;site;iOS;Moda;318.12;DF;Sim;nps_ecommerce_2026-04.csv
202604-00181;2026-04-05;2026-04;C14331;9;app;Android;Livros;44.4;PE;Sim;nps_ecommerce_2026-04.csv
202604-00199;2026-04-05;2026-04;C23974;9;app;Desktop;Casa E Decoração;305.61;SP;Nao;nps_ecommerce_2026-04.csv
202604-00201;2026-04-05;2026-04;C24092;10;app;Desktop;Moda;111.87;DF;Sim;nps_ecommerce_2026-04.csv
202604-00206;2026-04-05;2026-04;C26460;7;site;Android;Livros;93.99;CE;Nao;nps_ecommerce_2026-04.csv
202604-00222;2026-04-05;2026-04;C16647;9;site;Nao informado;Mercado;264.22;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00288;2026-04-05;2026-04;C26567;7;app;Android;Casa E Decoração;156.5;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00310;2026-04-05;2026-04;C31393;5;app;Desktop;Livros;69.12;CE;Nao;nps_ecommerce_2026-04.csv
202604-00356;2026-04-05;2026-04;C20974;9;site;iOS;Beleza;15.51;PR;Sim;nps_ecommerce_2026-04.csv
202604-00362;2026-04-05;2026-04;C25528;7;app;Android;Livros;222.22;DF;Sim;nps_ecommerce_2026-04.csv
202604-00365;2026-04-05;2026-04;C39434;7;app;iOS;Casa E Decoração;164.41;SP;Sim;nps_ecommerce_2026-04.csv
202604-00397;2026-04-05;2026-04;C16876;6;site;iOS;Livros;98.24;RS;Sim;nps_ecommerce_2026-04.csv
202604-00449;2026-04-05;2026-04;C13500;6;marketplace;Desktop;Beleza;97.28;PR;Nao;nps_ecommerce_2026-04.csv
202604-00472;2026-04-05;2026-04;C38555;10;app;Android;Livros;49.14;CE;Sim;nps_ecommerce_2026-04.csv
202604-00508;2026-04-05;2026-04;C25531;6;app;iOS;Moda;56.82;CE;Nao;nps_ecommerce_2026-04.csv
202604-00630;2026-04-05;2026-04;C38016;8;app;Android;Casa E Decoração;66.95;SP;Sim;nps_ecommerce_2026-04.csv
202604-00638;2026-04-05;2026-04;C15036;7;site;Desktop;Esporte;98.83;SP;Nao;nps_ecommerce_2026-04.csv
202604-00673;2026-04-05;2026-04;C19113;6;site;Android;Eletrônicos;106.79;BA;Nao;nps_ecommerce_2026-04.csv
202604-00726;2026-04-05;2026-04;C37128;7;app;Desktop;Mercado;355.19;BA;Sim;nps_ecommerce_2026-04.csv
202604-00747;2026-04-05;2026-04;C28909;7;site;iOS;Casa E Decoração;109.33;CE;Sim;nps_ecommerce_2026-04.csv
202604-00071;2026-04-06;2026-04;C26929;6;app;Android;Esporte;176.91;RS;Sim;nps_ecommerce_2026-04.csv
202604-00093;2026-04-06;2026-04;C12845;9;app;Android;Casa E Decoração;77.02;SP;Nao;nps_ecommerce_2026-04.csv
202604-00159;2026-04-06;2026-04;C38622;5;app;iOS;Moda;274.6;MG;Sim;nps_ecommerce_2026-04.csv
202604-00175;2026-04-06;2026-04;C25999;8;site;Android;Esporte;101.83;CE;Sim;nps_ecommerce_2026-04.csv
202604-00266;2026-04-06;2026-04;C31712;4;site;Android;Livros;131.7;PR;Nao;nps_ecommerce_2026-04.csv
202604-00307;2026-04-06;2026-04;C24436;6;marketplace;Desktop;Moda;209.72;RS;Nao;nps_ecommerce_2026-04.csv
202604-00343;2026-04-06;2026-04;C28943;9;site;Desktop;Eletrônicos;93.81;SP;Nao;nps_ecommerce_2026-04.csv
202604-00351;2026-04-06;2026-04;C35882;7;site;Android;Livros;148.4;PE;Sim;nps_ecommerce_2026-04.csv
202604-00405;2026-04-06;2026-04;C37352;10;site;Android;Moda;232.37;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00491;2026-04-06;2026-04;C22730;9;app;iOS;Mercado;182.93;PR;Sim;nps_ecommerce_2026-04.csv
202604-00519;2026-04-06;2026-04;C29849;9;app;Android;Beleza;324.12;PR;Nao;nps_ecommerce_2026-04.csv
202604-00621;2026-04-06;2026-04;C20545;10;app;Android;Beleza;239.3;CE;Nao;nps_ecommerce_2026-04.csv
202604-00658;2026-04-06;2026-04;C17099;10;app;Desktop;Esporte;55.79;BA;Sim;nps_ecommerce_2026-04.csv
202604-00679;2026-04-06;2026-04;C33647;6;site;Android;Esporte;128.69;RS;Sim;nps_ecommerce_2026-04.csv
202604-00697;2026-04-06;2026-04;C15780;9;site;Android;Moda;249.99;PE;Nao;nps_ecommerce_2026-04.csv
202604-00734;2026-04-06;2026-04;C11719;10;app;Android;Casa E Decoração;310.76;CE;Nao;nps_ecommerce_2026-04.csv
202604-00743;2026-04-06;2026-04;C38246;2;marketplace;iOS;Esporte;98.73;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00758;2026-04-06;2026-04;C20420;7;site;Android;Casa E Decoração;99.54;SP;Nao;nps_ecommerce_2026-04.csv
202604-00004;2026-04-07;2026-04;C31449;7;marketplace;Desktop;Casa E Decoração;64.54;DF;Sim;nps_ecommerce_2026-04.csv
202604-00008;2026-04-07;2026-04;C16145;10;app;Desktop;Moda;134.18;SP;Nao;nps_ecommerce_2026-04.csv
202604-00032;2026-04-07;2026-04;C34663;8;app;Android;Esporte;170.81;RS;Sim;nps_ecommerce_2026-04.csv
202604-00069;2026-04-07;2026-04;C29359;5;site;Desktop;Eletrônicos;61.55;CE;Sim;nps_ecommerce_2026-04.csv
202604-00119;2026-04-07;2026-04;C28902;10;marketplace;Android;Moda;283.12;SP;Nao;nps_ecommerce_2026-04.csv
202604-00125;2026-04-07;2026-04;C15469;8;site;iOS;Beleza;341.82;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00144;2026-04-07;2026-04;C25100;6;site;iOS;Livros;150.09;SP;Sim;nps_ecommerce_2026-04.csv
202604-00146;2026-04-07;2026-04;C21810;8;app;Desktop;Moda;105.36;RS;Sim;nps_ecommerce_2026-04.csv
202604-00153;2026-04-07;2026-04;C28569;9;site;iOS;Livros;99.79;CE;Nao;nps_ecommerce_2026-04.csv
202604-00187;2026-04-07;2026-04;C32457;7;app;Android;Mercado;249.88;PR;Sim;nps_ecommerce_2026-04.csv
202604-00332;2026-04-07;2026-04;C13850;6;app;Desktop;Esporte;143.66;PR;Nao;nps_ecommerce_2026-04.csv
202604-00341;2026-04-07;2026-04;C21006;8;site;Android;Eletrônicos;92.37;RS;Nao;nps_ecommerce_2026-04.csv
202604-00432;2026-04-07;2026-04;C19416;8;site;iOS;Esporte;101.09;DF;Nao;nps_ecommerce_2026-04.csv
202604-00443;2026-04-07;2026-04;C15221;8;app;iOS;Mercado;344.78;SP;Nao;nps_ecommerce_2026-04.csv
202604-00546;2026-04-07;2026-04;C24619;9;marketplace;Android;Beleza;187.15;CE;Nao;nps_ecommerce_2026-04.csv
202604-00559;2026-04-07;2026-04;C34594;6;marketplace;Desktop;Eletrônicos;48.03;DF;Sim;nps_ecommerce_2026-04.csv
202604-00570;2026-04-07;2026-04;C35653;8;site;Android;Moda;127.55;DF;Sim;nps_ecommerce_2026-04.csv
202604-00606;2026-04-07;2026-04;C30989;10;app;Android;Casa E Decoração;635.69;PR;Sim;nps_ecommerce_2026-04.csv
202604-00610;2026-04-07;2026-04;C23117;5;site;Desktop;Casa E Decoração;197.36;PE;Sim;nps_ecommerce_2026-04.csv
202604-00612;2026-04-07;2026-04;C16482;10;app;iOS;Casa E Decoração;71.05;SP;Sim;nps_ecommerce_2026-04.csv
202604-00089;2026-04-08;2026-04;C22151;8;app;iOS;Beleza;374.33;RS;Nao;nps_ecommerce_2026-04.csv
202604-00101;2026-04-08;2026-04;C19413;7;site;Android;Mercado;51.57;RS;Nao;nps_ecommerce_2026-04.csv
202604-00140;2026-04-08;2026-04;C12955;5;site;Android;Casa E Decoração;16.27;SP;Nao;nps_ecommerce_2026-04.csv
202604-00149;2026-04-08;2026-04;C15167;10;app;Android;Casa E Decoração;69.25;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00188;2026-04-08;2026-04;C30349;8;app;Desktop;Mercado;91.6;SP;Nao;nps_ecommerce_2026-04.csv
202604-00205;2026-04-08;2026-04;C29541;9;site;Android;Casa E Decoração;178.17;SP;Sim;nps_ecommerce_2026-04.csv
202604-00264;2026-04-08;2026-04;C30344;8;app;iOS;Beleza;71.77;PE;Nao;nps_ecommerce_2026-04.csv
202604-00274;2026-04-08;2026-04;C24146;7;marketplace;Android;Casa E Decoração;173.49;SP;Nao;nps_ecommerce_2026-04.csv
202604-00301;2026-04-08;2026-04;C33765;7;site;iOS;Eletrônicos;214.34;BA;Sim;nps_ecommerce_2026-04.csv
202604-00324;2026-04-08;2026-04;C12067;4;site;Android;Mercado;55.22;SP;Nao;nps_ecommerce_2026-04.csv
202604-00327;2026-04-08;2026-04;C29070;9;site;iOS;Mercado;172.53;CE;Nao;nps_ecommerce_2026-04.csv
202604-00338;2026-04-08;2026-04;C35525;10;app;iOS;Moda;42.43;BA;Nao;nps_ecommerce_2026-04.csv
202604-00339;2026-04-08;2026-04;C12409;7;marketplace;Android;Beleza;168.58;PE;Sim;nps_ecommerce_2026-04.csv
202604-00345;2026-04-08;2026-04;C20724;10;site;iOS;Esporte;117.22;PR;Sim;nps_ecommerce_2026-04.csv
202604-00383;2026-04-08;2026-04;C10879;2;app;iOS;Casa E Decoração;138.2;CE;Nao;nps_ecommerce_2026-04.csv
202604-00393;2026-04-08;2026-04;C37249;7;app;Desktop;Esporte;266.33;DF;Sim;nps_ecommerce_2026-04.csv
202604-00471;2026-04-08;2026-04;C30240;10;app;iOS;Esporte;106.31;RS;Nao;nps_ecommerce_2026-04.csv
202604-00485;2026-04-08;2026-04;C35174;5;app;iOS;Casa E Decoração;245.98;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00528;2026-04-08;2026-04;C37355;9;site;iOS;Esporte;163.22;SP;Sim;nps_ecommerce_2026-04.csv
202604-00583;2026-04-08;2026-04;C26181;5;site;iOS;Beleza;174.16;PR;Sim;nps_ecommerce_2026-04.csv
202604-00594;2026-04-08;2026-04;C21167;9;app;Desktop;Esporte;103.12;CE;Sim;nps_ecommerce_2026-04.csv
202604-00613;2026-04-08;2026-04;C15850;7;app;iOS;Casa E Decoração;221.79;DF;Sim;nps_ecommerce_2026-04.csv
202604-00650;2026-04-08;2026-04;C39017;9;app;iOS;Livros;232.06;SP;Nao;nps_ecommerce_2026-04.csv
202604-00661;2026-04-08;2026-04;C16553;8;marketplace;Android;Eletrônicos;159.56;BA;Nao;nps_ecommerce_2026-04.csv
202604-00662;2026-04-08;2026-04;C38910;7;site;Desktop;Livros;286.14;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00735;2026-04-08;2026-04;C11113;5;marketplace;Android;Casa E Decoração;86.51;PE;Sim;nps_ecommerce_2026-04.csv
202604-00746;2026-04-08;2026-04;C19850;10;app;Desktop;Mercado;365.44;SP;Nao;nps_ecommerce_2026-04.csv
202604-00748;2026-04-08;2026-04;C11203;7;site;iOS;Mercado;88.57;SP;Sim;nps_ecommerce_2026-04.csv
