id_avaliacao,data_avaliacao,id_cliente,nota_nps,canal,dispositivo,categoria_compra,valor_pedido,uf,primeiro_pedido
202606-00067,2026-06-13,C18773,6,marketplace,Android,Mercado,"R$ 717,66",PE,sim
202606-00068,2026-06-03,C16913,7,site,iOS,Moda,"R$ 48,31",BA,nao
202606-00069,2026-06-30,C28585,8,app,iOS,Livros,"R$ 44,55",BA,nao
202606-00070,2026-06-29,C33524,9,site,Desktop,Beleza,"R$ 155,69",BA,nao
202606-00071,2026-06-11,C16967,3,app,Android,Livros,"R$ 21,40",BA,nao
202606-00072,2026-06-21,C26358,7,app,Desktop,Casa e Decoração,"R$ 338,21",SP,nao
202606-00073,2026-06-13,C38989,10,marketplace,Desktop,Eletrônicos,"R$ 66,69",MG,sim
202606-00074,2026-06-30,C31064,8,app,Desktop,Esporte,"R$ 175,17",RJ,sim
202606-00075,2026-06-15,C14681,8,app,Android,Livros,"R$ 289,03",RJ,nao
202606-00076,2026-06-09,C14575,7,app,Desktop,Moda,"R$ 106,27",DF,nao
202606-00077,2026-06-08,C34411,6,app,iOS,Moda,"R$ 259,24",CE,sim
202606-00078,2026-06-18,C27661,7,app,Desktop,Livros,"R$ 20,54",CE,nao
202606-00079,2026-06-09,C34478,10,app,Desktop,Mercado,"R$ 21,59",MG,nao
202606-00080,2026-06-19,C24038,6,site,iOS,Casa e Decoração,"R$ 95,12",SP,sim
202606-00081,2026-06-29,C29121,5,app,Android,Esporte,"R$ 62,97",RS,sim
202606-00082,2026-06-13,C21861,5,app,iOS,Moda,"R$ 38,55",SP,sim
202606-00083,2026-06-08,C14532,4,app,Android,Beleza,"R$ 60,76",MG,nao
202606-00084,2026-06-17,C26171,9,site,Android,Moda,"R$ 34,02",RS,nao
202606-00085,2026-06-03,C34765,6,site,Android,Livros,"R$ 62,04",CE,sim
202606-00086,2026-06-02,C38216,7,app,iOS,Livros,"R$ 59,56",SP,sim
202606-00087,2026-06-04,C15008,10,app,iOS,Eletrônicos,"R$ 89,13",RJ,sim
202606-00088,2026-06-21,C15242,7,app,Android,Beleza,"R$ 42,32",PE,sim
202606-00089,2026-06-26,C32298,10,site,Android,Esporte,"R$ 99,29",SP,nao
202606-00090,2026-06-14,C29543,9,app,iOS,Moda,"R$ 378,84",PE,sim
202606-00091,2026-06-03,C22608,8,app,iOS,Mercado,"R$ 28,40",SP,sim
202606-00092,2026-06-13,C29526,5,app,Android,Casa e Decoração,"R$ 165,98",SP,nao
202606-00093,2026-06-15,C27338,8,app,Android,Mercado,"R$ 80,65",BA,nao
202606-00094,2026-06-09,C28128,6,app,Desktop,Esporte,"R$ 44,18",BA,nao
202606-00095,2026-06-28,C10376,6,site,iOS,Casa e Decoração,"R$ 50,31",MG,sim
202606-00096,2026-06-22,C33616,8,app,Android,Eletrônicos,"R$ 19,70",SP,sim
202606-00097,2026-06-04,C32338,4,app,iOS,Moda,"R$ 247,36",PE,nao
202606-00098,2026-06-29,C27595,8,app,iOS,Beleza,"R$ 59,50",CE,nao
202606-00099,2026-06-25,C18743,10,app,Desktop,Esporte,"R$ 108,10",RJ,nao
202606-00100,2026-06-25,C31003,9,app,Android,Casa e Decoração,"R$ 86,93",SP,nao
202606-00101,2026-06-11,C13655,8,app,iOS,Mercado,"R$ 294,79",MG,sim
202606-00102,2026-06-10,C24246,6,site,iOS,Eletrônicos,"R$ 69,26",PE,nao
202606-00103,2026-06-06,C24867,8,marketplace,Android,Esporte,"R$ 26,43",SP,nao
202606-00104,2026-06-01,C33661,8,marketplace,iOS,Livros,"R$ 279,93",SP,sim
202606-00105,2026-06-29,C33582,9,app,Android,Eletrônicos,"R$ 153,89",CE,nao
202606-00106,2026-06-09,C26403,10,app,Android,Beleza,"R$ 135,03",DF,sim
202606-00107,2026-06-25,C15854,9,site,Android,Esporte,"R$ 145,08",PE,sim
202606-00108,2026-06-17,C39904,10,site,Android,Beleza,"R$ 541,47",MG,nao
202606-00109,2026-06-04,C38525,8,app,Android,Esporte,"R$ 110,35",PR,nao
202606-00110,2026-06-21,C19779,5,site,iOS,Esporte,"R$ 192,17",MG,nao
202606-00111,2026-06-27,C30937,10,app,Desktop,Moda,"R$ 105,14",RJ,sim
202606-00112,2026-06-17,C29954,6,site,Android,Moda,"R$ 267,72",CE,sim
202606-00113,2026-06-07,C15008,10,app,iOS,Beleza,"R$ 73,92",PE,sim
202606-00114,2026-06-12,C34985,5,app,Android,Beleza,"R$ 449,12",BA,sim
202606-00115,2026-06-06,C27674,8,app,iOS,Esporte,"R$ 78,51",SP,nao
202606-00116,2026-06-25,C27378,8,app,iOS,Livros,"R$ 36,94",PE,nao
202606-00117,2026-06-30,C10018,6,app,Android,Eletrônicos,"R$ 52,65",DF,sim
202606-00118,2026-06-20,C20621,7,app,iOS,Eletrônicos,"R$ 110,05",SP,sim
202606-00119,2026-06-16,C10638,10,app,Desktop,Casa e Decoração,"R$ 36,81",SP,sim
202606-00120,2026-06-04,C21894,8,app,iOS,Casa e Decoração,"R$ 484,06",PE,nao
202606-00121,2026-06-29,C37252,5,site,Android,Casa e Decoração,"R$ 33,29",SP,sim
202606-00122,2026-06-26,C20076,10,site,iOS,Beleza,"R$ 189,97",PR,sim
202606-00123,2026-06-08,C11898,10,app,Android,Moda,"R$ 134,11",MG,nao
202606-00124,2026-06-08,C38770,6,app,Desktop,Beleza,"R$ 32,43",RJ,sim
202606-00125,2026-06-19,C12580,7,app,iOS,Beleza,"R$ 120,91",DF,sim
202606-00126,2026-06-03,C33983,7,marketplace,Desktop,Livros,"R$ 91,66",MG,sim
202606-00127,2026-06-16,C36739,8,site,Android,Casa e Decoração,"R$ 116,62",BA,nao
202606-00128,2026-06-03,C34923,6,app,Android,Mercado,"R$ 84,74",SP,nao
202606-00129,2026-06-18,C35094,8,site,Android,Livros,"R$ 125,91",RJ,nao
202606-00130,2026-06-05,C14207,10,app,Android,Beleza,"R$ 242,16",MG,sim
202606-00131,2026-06-22,C25574,9,app,Android,Eletrônicos,"R$ 57,67",PE,sim
202606-00132,2026-06-18,C15410,6,site,iOS,Eletrônicos,"R$ 28,20",PR,nao
202606-00133,2026-06-09,C27290,6,app,iOS,Casa e Decoração,"R$ 59,57",MG,nao
202606-00134,2026-06-28,C29876,9,app,Android,Moda,"R$ 111,61",DF,sim
202606-00135,2026-06-14,C16940,7,app,iOS,Livros,"R$ 176,68",PE,nao
202606-00136,2026-06-30,C27671,4,marketplace,Android,Moda,"R$ 239,96",BA,sim
202606-00137,2026-06-25,C33918,8,marketplace,Android,Esporte,"R$ 165,50",PR,nao
202606-00138,2026-06-23,C16591,7,app,Android,Mercado,"R$ 264,51",BA,sim
202606-00139,2026-06-23,C20214,10,app,iOS,Eletrônicos,"R$ 37,80",BA,nao
202606-00140,2026-06-13,C32009,7,site,Desktop,Livros,"R$ 258,01",CE,nao
202606-00141,2026-06-21,C22236,8,app,Android,Moda,"R$ 122,13",CE,nao
202606-00142,2026-06-15,C39478,6,app,Android,Livros,"R$ 64,99",CE,nao
202606-00143,2026-06-17,C24794,8,app,Desktop,Moda,"R$ 107,69",BA,nao
202606-00144,2026-06-04,C18123,7,site,,Beleza,"R$ 260,89",MG,nao
202606-00145,2026-06-08,C12098,10,site,Desktop,Beleza,"R$ 414,38",PE,sim
202606-00146,2026-06-11,C10689,6,app,Android,Casa e Decoração,"R$ 62,46",SP,sim
202606-00147,2026-06-19,C28150,7,app,,Esporte,"R$ 242,51",BA,sim
202606-00148,2026-06-08,C29282,5,marketplace,iOS,Casa e Decoração,"R$ 82,48",BA,nao
202606-00149,2026-06-08,C10235,7,app,iOS,Casa e Decoração,"R$ 57,07",DF,sim
202606-00150,2026-06-03,C33194,10,marketplace,Android,Mercado,"R$ 60,66",BA,sim
202606-00151,2026-06-21,C11929,9,site,Android,Moda,"R$ 60,84",PE,nao
202606-00152,2026-06-08,C12208,8,app,iOS,Mercado,"R$ 176,76",PE,sim
202606-00153,2026-06-29,C11029,10,site,Desktop,Livros,"R$ 180,88",SP,sim
202606-00154,2026-06-28,C20827,6,site,Android,Eletrônicos,"R$ 610,55",SP,sim
202606-00155,2026-06-03,C26847,4,site,iOS,Eletrônicos,"R$ 972,05",RS,sim
202606-00156,2026-06-08,C19125,8,app,iOS,Mercado,"R$ 62,02",DF,nao
202606-00157,2026-06-22,C25906,10,site,Desktop,Livros,"R$ 261,17",RJ,nao
202606-00158,2026-06-07,C27669,10,marketplace,Android,Moda,"R$ 286,44",RS,sim
202606-00159,2026-06-05,C33702,9,app,Android,Livros,"R$ 102,62",SP,sim
202606-00160,2026-06-30,C38913,10,site,iOS,Casa e Decoração,"R$ 316,01",PR,nao
202606-00161,2026-06-19,C28881,5,site,iOS,Eletrônicos,"R$ 91,78",PR,nao
202606-00162,2026-06-16,C17962,10,site,Android,Moda,"R$ 128,55",PE,nao
202606-00163,2026-06-26,C25498,8,app,Android,Esporte,"R$ 60,47",DF,sim
202606-00164,2026-06-26,C23338,6,app,Android,Livros,"R$ 140,42",PR,sim
202606-00165,2026-06-07,C13090,10,app,Android,Beleza,"R$ 148,59",PR,sim
202606-00166,2026-06-04,C31593,8,site,Android,Casa e Decoração,"R$ 63,65",BA,sim
202606-00167,2026-06-14,C21609,10,app,Android,Esporte,"R$ 25,34",BA,sim
202606-00168,2026-06-14,C23470,6,app,Desktop,Moda,"R$ 53,65",PR,sim
202606-00169,2026-06-15,C38306,7,marketplace,Desktop,Casa e Decoração,"R$ 136,13",DF,nao
202606-00170,2026-06-24,C11775,8,app,iOS,Moda,"R$ 150,84",BA,nao
202606-00171,2026-06-22,C31412,7,app,Desktop,Moda,"R$ 54,40",PE,sim
202606-00172,2026-06-21,C13224,8,app,Android,Livros,"R$ 505,74",CE,sim
202606-00173,2026-06-02,C23193,4,app,Android,Eletrônicos,"R$ 24,04",PR,nao
202606-00174,2026-06-24,C21118,4,app,iOS,Moda,"R$ 198,25",PE,nao
202606-00175,2026-06-26,C38235,7,site,Android,Esporte,"R$ 81,97",CE,nao
202606-00176,2026-06-04,C18147,7,app,Android,Moda,"R$ 102,45",CE,sim
202606-00177,2026-06-07,C16232,8,site,iOS,Casa e Decoração,"R$ 352,34",SP,nao
202606-00178,2026-06-18,C24700,8,site,Android,Mercado,"R$ 229,83",PR,nao
202606-00179,2026-06-05,C23824,9,app,Android,Mercado,"R$ 327,28",MG,nao
202606-00180,2026-06-06,C19127,9,app,iOS,Moda,"R$ 119,46",PE,sim
202606-00181,2026-06-15,C18185,6,marketplace,Desktop,Beleza,"R$ 160,09",PR,sim
202606-00182,2026-06-28,C12470,9,app,iOS,Mercado,"R$ 59,67",BA,nao
202606-00183,2026-06-15,C36477,8,app,Android,Moda,"R$ 79,32",RS,nao
202606-00184,2026-06-28,C38048,7,app,iOS,Beleza,"R$ 22,27",BA,sim
202606-00185,2026-06-18,C13208,8,app,Desktop,Esporte,"R$ 264,01",RS,sim
202606-00186,2026-06-02,C31369,8,marketplace,Android,Casa e Decoração,"R$ 96,59",RJ,nao
202606-00187,2026-06-18,C37394,5,site,iOS,Mercado,"R$ 60,94",BA,sim
202606-00188,2026-06-01,C13056,7,app,Desktop,Mercado,"R$ 54,64",MG,nao
202606-00189,2026-06-30,C34692,8,app,Android,Beleza,"R$ 31,19",DF,sim
202606-00190,2026-06-28,C17745,7,app,Desktop,Moda,"R$ 284,27",SP,nao
202606-00191,2026-06-06,C23317,9,app,Android,Casa e Decoração,"R$ 386,01",SP,sim
202606-00192,2026-06-16,C25773,9,site,Android,Eletrônicos,"R$ 214,94",RS,nao
202606-00193,2026-06-07,C38332,10,app,iOS,Moda,"R$ 93,76",RJ,nao
202606-00194,2026-06-13,C39571,5,app,Android,Mercado,"R$ 96,71",CE,nao
202606-00195,2026-06-02,C15394,5,marketplace,Android,Mercado,"R$ 228,12",MG,nao
202606-00196,2026-06-13,C10070,8,app,iOS,Moda,"R$ 136,59",CE,nao
202606-00197,2026-06-13,C18690,8,marketplace,Android,Moda,"R$ 57,04",RS,sim
202606-00198,2026-06-30,C35692,10,marketplace,iOS,Esporte,"R$ 559,92",MG,nao
202606-00199,2026-06-26,C24909,8,app,Desktop,Mercado,"R$ 270,47",PE,nao
202606-00200,2026-06-10,C23861,8,app,Android,Esporte,"R$ 291,05",BA,sim
202606-00201,2026-06-23,C33937,7,marketplace,Desktop,Livros,"R$ 427,31",RS,sim
202606-00202,2026-06-26,C28211,8,site,Android,Livros,"R$ 150,41",DF,sim
202606-00203,2026-06-22,C33540,5,app,Desktop,Moda,"R$ 37,28",CE,nao
202606-00204,2026-06-16,C15072,7,app,Android,Beleza,"R$ 27,36",PE,sim
202606-00205,2026-06-07,C19722,8,site,iOS,Beleza,"R$ 241,96",MG,sim
202606-00206,2026-06-07,C11916,6,app,Android,Beleza,"R$ 74,65",RJ,nao
202606-00207,2026-06-19,C34108,9,site,iOS,Esporte,"R$ 197,99",PE,nao
202606-00208,2026-06-18,C11997,10,app,Android,Moda,"R$ 128,80",MG,sim
202606-00209,2026-06-24,C20276,6,site,Android,Eletrônicos,"R$ 228,53",PR,sim
202606-00210,2026-06-02,C11643,5,app,Android,Esporte,"R$ 24,33",SP,nao
202606-00211,2026-06-19,C25623,5,site,iOS,Casa e Decoração,"R$ 98,25",DF,nao
202606-00212,2026-06-17,C37941,8,marketplace,Android,Eletrônicos,"R$ 164,42",RS,nao
202606-00213,2026-06-17,C15158,6,site,Android,Beleza,"R$ 32,65",DF,sim
202606-00214,2026-06-02,C26640,7,site,Desktop,Moda,"R$ 53,60",RJ,sim
202606-00215,2026-06-03,C37896,5,site,iOS,Livros,"R$ 84,64",SP,nao
202606-00216,2026-06-06,C12245,8,app,iOS,Beleza,"R$ 88,97",RJ,sim
202606-00217,2026-06-20,C12226,5,site,,Beleza,"R$ 452,64",PR,nao
202606-00218,2026-06-22,C38240,5,site,Android,Eletrônicos,"R$ 60,76",PE,sim
202606-00219,2026-06-08,C23230,10,app,Android,Beleza,"R$ 55,75",SP,nao
202606-00220,2026-06-04,C39172,9,app,Android,Eletrônicos,"R$ 33,24",RS,nao
202606-00221,2026-06-19,C18067,6,app,iOS,Esporte,"R$ 450,56",MG,sim
202606-00222,2026-06-19,C29481,10,app,iOS,Esporte,"R$ 145,81",PE,nao
202606-00223,2026-06-02,C30295,7,site,Android,Beleza,"R$ 267,03",BA,sim
202606-00224,2026-06-03,C23737,5,marketplace,Android,Mercado,"R$ 173,02",RJ,nao
202606-00225,2026-06-22,C29125,8,app,iOS,Livros,"R$ 112,77",DF,nao
202606-00226,2026-06-19,C27130,6,app,Android,Beleza,"R$ 87,18",SP,nao
202606-00227,2026-06-11,C18544,6,app,iOS,Beleza,"R$ 141,87",BA,sim
202606-00228,2026-06-07,C31945,10,app,,Mercado,"R$ 942,81",SP,nao
202606-00229,2026-06-23,C20295,10,marketplace,Android,Livros,"R$ 54,81",SP,sim
202606-00230,2026-06-08,C18703,8,app,Android,Mercado,"R$ 244,21",PR,nao
202606-00231,2026-06-13,C14288,10,marketplace,Android,Eletrônicos,"R$ 349,45",SP,sim
202606-00232,2026-06-22,C31151,5,app,Android,Moda,"R$ 165,21",SP,sim
202606-00233,2026-06-10,C24982,8,marketplace,Desktop,Beleza,"R$ 105,97",MG,sim
202606-00234,2026-06-11,C34637,6,site,iOS,Esporte,"R$ 16,90",SP,sim
202606-00235,2026-06-30,C12377,7,app,iOS,Mercado,"R$ 114,32",BA,sim
202606-00236,2026-06-01,C25017,5,app,Android,Moda,"R$ 73,83",PR,sim
202606-00237,2026-06-20,C28448,10,site,iOS,Esporte,"R$ 235,04",RJ,sim
202606-00238,2026-06-04,C12400,10,app,Android,Casa e Decoração,"R$ 26,28",CE,sim
202606-00239,2026-06-18,C16984,9,site,Desktop,Moda,"R$ 59,52",SP,sim
202606-00240,2026-06-17,C18690,5,app,iOS,Casa e Decoração,"R$ 14,97",SP,sim
202606-00241,2026-06-05,C21436,9,marketplace,Desktop,Eletrônicos,"R$ 111,36",MG,nao
202606-00242,2026-06-29,C12254,7,app,Android,Beleza,"R$ 41,65",DF,sim
202606-00243,2026-06-29,C18004,7,app,Android,Livros,"R$ 54,76",PR,sim
202606-00244,2026-06-12,C19338,10,app,Android,Mercado,"R$ 254,95",MG,nao
202606-00245,2026-06-06,C24358,10,site,iOS,Esporte,"R$ 102,92",SP,nao
202606-00246,2026-06-27,C27800,8,app,iOS,Moda,"R$ 50,76",PR,sim
202606-00247,2026-06-23,C19912,3,marketplace,Android,Esporte,"R$ 29,75",CE,nao
202606-00248,2026-06-20,C36447,6,app,iOS,Moda,"R$ 41,71",PR,nao
202606-00249,2026-06-21,C27332,3,app,Android,Mercado,"R$ 245,09",RJ,sim
202606-00250,2026-06-01,C31884,5,site,Android,Livros,"R$ 50,61",PR,nao
202606-00251,2026-06-27,C28173,10,site,Android,Casa e Decoração,"R$ 105,27",RJ,nao
202606-00252,2026-06-10,C31737,8,app,Desktop,Beleza,"R$ 127,35",BA,sim
202606-00253,2026-06-04,C38774,7,app,Android,Esporte,"R$ 81,94",RS,nao
202606-00254,2026-06-05,C18666,9,site,Android,Livros,"R$ 77,95",BA,sim
202606-00255,2026-06-04,C39154,7,site,iOS,Esporte,"R$ 181,59",SP,nao
202606-00256,2026-06-04,C34327,10,app,,Casa e Decoração,"R$ 287,52",SP,nao
202606-00257,2026-06-18,C15093,6,app,Desktop,Livros,"R$ 132,04",RJ,nao
202606-00258,2026-06-09,C19232,8,site,Android,Mercado,"R$ 462,74",PR,nao
202606-00259,2026-06-20,C16901,7,app,Android,Casa e Decoração,"R$ 82,85",DF,sim
202606-00260,2026-06-23,C21235,9,site,iOS,Casa e Decoração,"R$ 46,51",CE,nao
202606-00261,2026-06-07,C32527,2,site,iOS,Moda,"R$ 49,34",BA,sim
202606-00262,2026-06-21,C37948,5,app,Android,Mercado,"R$ 179,22",BA,sim
202606-00263,2026-06-09,C26561,9,marketplace,Android,Eletrônicos,"R$ 27,90",PR,sim
202606-00264,2026-06-16,C18228,7,site,iOS,Moda,"R$ 20,50",RJ,sim
202606-00265,2026-06-29,C39758,4,site,iOS,Eletrônicos,"R$ 639,40",PR,nao
202606-00266,2026-06-28,C11664,9,app,Android,Moda,"R$ 296,69",SP,sim
202606-00267,2026-06-03,C30784,9,site,Desktop,Eletrônicos,"R$ 35,79",CE,sim
202606-00268,2026-06-14,C37176,6,site,Android,Esporte,"R$ 84,01",BA,nao
202606-00269,2026-06-09,C11444,7,site,iOS,Livros,"R$ 81,56",RS,sim
202606-00270,2026-06-01,C20929,8,app,iOS,Beleza,"R$ 42,17",CE,sim
202606-00271,2026-06-25,C14286,10,app,Android,Eletrônicos,"R$ 133,76",PE,sim
202606-00272,2026-06-21,C18583,10,app,Desktop,Livros,"R$ 87,56",MG,sim
202606-00273,2026-06-06,C34288,4,site,Android,Eletrônicos,"R$ 445,99",DF,sim
202606-00274,2026-06-15,C28077,5,site,iOS,Esporte,"R$ 66,27",BA,sim
202606-00275,2026-06-23,C24014,6,app,Android,Casa e Decoração,"R$ 81,56",PE,nao
202606-00276,2026-06-18,C10316,9,app,Android,Eletrônicos,"R$ 139,18",SP,sim
202606-00277,2026-06-04,C12465,5,app,Desktop,Beleza,"R$ 194,09",SP,nao
202606-00278,2026-06-29,C32643,8,marketplace,Desktop,Moda,"R$ 77,63",CE,sim
202606-00279,2026-06-29,C14884,10,app,iOS,Esporte,"R$ 130,24",MG,nao
202606-00280,2026-06-18,C11180,7,app,iOS,Moda,"R$ 29,50",PE,sim
202606-00281,2026-06-27,C22098,8,app,Desktop,Moda,"R$ 147,10",SP,nao
202606-00282,2026-06-19,C28105,4,app,iOS,Eletrônicos,"R$ 186,60",SP,nao
202606-00283,2026-06-05,C24083,8,app,Desktop,Beleza,"R$ 174,58",SP,nao
202606-00284,2026-06-05,C11370,7,app,Desktop,Livros,"R$ 637,09",PE,sim
202606-00285,2026-06-10,C21948,6,site,Android,Eletrônicos,"R$ 133,75",RS,nao
202606-00286,2026-06-29,C36087,7,marketplace,Android,Livros,"R$ 79,68",SP,sim
202606-00287,2026-06-28,C11307,10,app,iOS,Eletrônicos,"R$ 130,85",RS,sim
202606-00288,2026-06-29,C21724,10,app,iOS,Eletrônicos,"R$ 50,83",PE,nao
202606-00289,2026-06-07,C32349,8,site,iOS,Beleza,"R$ 106,30",SP,nao
202606-00290,2026-06-08,C31854,6,site,Desktop,Mercado,"R$ 215,44",PE,nao
202606-00291,2026-06-04,C21589,6,app,Android,Mercado,"R$ 42,33",MG,nao
202606-00292,2026-06-25,C28346,10,site,Android,Eletrônicos,"R$ 146,41",BA,sim
202606-00293,2026-06-29,C38662,8,site,,Casa e Decoração,"R$ 84,50",SP,sim
202606-00294,2026-06-14,C30337,8,site,iOS,Mercado,"R$ 242,82",SP,nao
202606-00295,2026-06-24,C15064,10,site,Android,Eletrônicos,"R$ 40,42",MG,nao
202606-00296,2026-06-30,C17757,7,app,iOS,Livros,"R$ 278,96",CE,sim
202606-00297,2026-06-28,C15324,9,app,iOS,Casa e Decoração,"R$ 70,29",MG,nao
202606-00298,2026-06-26,C36567,8,app,iOS,Livros,"R$ 43,60",MG,nao
202606-00299,2026-06-06,C38882,5,site,iOS,Beleza,"R$ 65,83",SP,nao
202606-00300,2026-06-14,C10812,10,app,Android,Esporte,"R$ 119,85",PR,nao
202606-00301,2026-06-06,C34135,6,app,Android,Casa e Decoração,"R$ 158,81",RS,nao
202606-00302,2026-06-30,C20885,8,app,Desktop,Mercado,"R$ 117,54",PR,nao
202606-00303,2026-06-26,C23491,7,app,Android,Livros,"R$ 14,97",BA,sim
