id_resposta;data_resposta;cidade;idade;canal_atendimento;nota_satisfacao;nota_atendimento;nota_preco;recomendaria;tempo_cliente_meses;comentario
233;2-5-26;Porto Alegre;64;WhatsApp;4.0;3;4;Sim;96;Muito satisfeito com a solução.
115;2026-05-27;Salvador;69;whatsapp;4.0;4;2;sim;29;
354;05/04/2026;Brasília;73;telefone;3.0;4;1;Sim ;51;Ótima experiência do início ao fim.
213;2026-05-17;Belo Horizonte;47;chat ;5.0;5;1;Sim ;93;
200;13/05/2026;Belo Horizonte;70;loja fisica;3.0;3;3;sim;21;Poderia melhorar o prazo de resposta.
181;14-5-26;São Paulo;22;chat ;5.0;4;4;Sim ;87;Produto bom, mas a entrega atrasou.
71;11/04/2026;Porto Alegre;74;email;4.0;5;4;NÃO;79;
38;2-5-26;Brasília;27;E-mail;;4;5;Não;6;Atendente foi educado mas não resolveu meu problema.
142;8-5-26;São Paulo;18;Chat;5.0;5;5;sim;33;Preço alto comparado à concorrência.
391;13-5-26;Belo Horizonte;64;whatsapp;5.0;5;3;Não;54;Tudo certo.
315;26/04/2026;Porto Alegre;59;email;5.0;5;5;NÃO;93;Ótima experiência do início ao fim.
236;13-4-26;Brasília;26;telefone;4.0;3;5;NÃO;51;Não recomendo o suporte por telefone.
118;18-5-26;Curitiba;59;whatsapp;5.0;5;3;Não;84;Tudo certo.
31;2026-05-08;Belo Horizonte;60;whatsapp;4.0;5;2;Sim;2;Poderia melhorar o prazo de resposta.
402;4-5-26;Campinas;37;telefone;4.0;4;3;Não;38;Poderia melhorar o prazo de resposta.
69;2026-04-11;Fortaleza;24;chat ;2.0;1;4;Sim ;20;Tudo certo.
254;18-4-26;São Paulo;71;Telefone;5.0;5;3;nao;18;
280;13-5-26;São Paulo;68;Loja física;3.0;4;3;Sim;14;Muito satisfeito com a solução.
371;18-5-26;Curitiba;48;telefone;4.0;4;4;Sim ;5;Não recomendo o suporte por telefone.
41;9-4-26;Rio de Janeiro;42;whatsapp;5.0;4;5;nao;45;Preço alto comparado à concorrência.
18;17/05/2026;Brasília;66;Chat;3.0;2;4;Sim ;84;Atendente foi educado mas não resolveu meu problema.
375;19/05/2026;Recife;27;loja fisica;5.0;4;5;Sim;14;Ótima experiência do início ao fim.
283;2026-05-12;Campinas;62;E-mail;4.0;5;2;Sim;62;Demorou demais para me atenderem.
291;27-5-26;Campinas;23;chat ;4.0;3;1;Não;15;Produto bom, mas a entrega atrasou.
241;10-4-26;Campinas;38;loja fisica;4.0;3;1;Não;31;Preço alto comparado à concorrência.
413;24/04/2026;São Paulo;18;E-mail;5.0;5;4;nao;80;Preço alto comparado à concorrência.
393;21-5-26;Salvador;50;E-mail;2.0;2;2;sim;38;Demorou demais para me atenderem.
143;11/04/2026;Fortaleza;65;E-mail;3.0;4;4;NÃO;91;Muito satisfeito com a solução.
101;11-5-26;Recife;42;whatsapp;3.0;3;4;sim;65;Ótima experiência do início ao fim.
245;26/05/2026;Brasília;44;Loja física;4.0;3;4;nao;32;Preço alto comparado à concorrência.
238;2026-04-12;Curitiba;74;Telefone;4.0;4;3;nao;79;Atendimento excelente, resolveram rápido.
42;27/04/2026;São Paulo;60;WhatsApp;2.0;2;5;Não;45;
177;2026-04-25;Salvador;73;chat ;4.0;3;4;Não;56;Tudo certo.
30;3-5-26;Campinas;54;chat ;4.0;4;4;sim;86;Atendente foi educado mas não resolveu meu problema.
395;08/05/2026;Porto Alegre;44;chat ;5.0;4;2;Não;60;Demorou demais para me atenderem.
359;2026-05-03;São Paulo;34;email;5.0;5;1;Não;33;Demorou demais para me atenderem.
415;2026-05-23;Belo Horizonte;25;Telefone;3.0;2;2;sim;14;Tudo certo.
299;2026-04-12;Rio de Janeiro;67;email;5.0;5;3;NÃO;89;Atendente foi educado mas não resolveu meu problema.
231;17-4-26;Brasília;27;chat ;3.0;4;2;nao;15;
250;2026-05-04;Curitiba;41;WhatsApp;;3;1;sim;95;Produto bom, mas a entrega atrasou.
286;1-5-26;Rio de Janeiro;61;email;3.0;2;4;NÃO;21;Atendente foi educado mas não resolveu meu problema.
66;20/04/2026;Porto Alegre;24;Telefone;4.0;3;3;NÃO;87;Tudo certo.
176;07/04/2026;São Paulo;38;Loja física;2.0;1;3;nao;33;Atendimento excelente, resolveram rápido.
156;03/05/2026;Brasília;61;Chat;4.0;4;4;Sim ;78;Produto bom, mas a entrega atrasou.
187;12-4-26;Brasília;36;E-mail;4.0;4;3;Sim ;82;Produto bom, mas a entrega atrasou.
95;23/05/2026;São Paulo;999;email;5.0;4;5;Não;71;Atendimento excelente, resolveram rápido.
173;2026-05-21;Porto Alegre;65;chat ;4.0;3;3;Não;31;
11;18-5-26;Campinas;45;WhatsApp;3.0;4;3;sim;66;Poderia melhorar o prazo de resposta.
377;20/05/2026;Belo Horizonte;35;E-mail;4.0;4;3;Sim ;89;Tudo certo.
195;02/04/2026;São Paulo;59;Chat;4.0;5;3;NÃO;54;Ótima experiência do início ao fim.
347;2026-05-26;Brasília;68;chat ;4.0;5;5;NÃO;42;Tudo certo.
232;07/05/2026;Brasília;46;whatsapp;4.0;4;3;nao;59;Ótima experiência do início ao fim.
4;11/05/2026;Curitiba;66;telefone;4.0;4;2;Sim;46;Atendente foi educado mas não resolveu meu problema.
43;17-5-26;Brasília;39;telefone;3.0;3;3;Não;23;Ótima experiência do início ao fim.
337;05/04/2026;Rio de Janeiro;28;whatsapp;5.0;5;5;Sim;69;Atendente foi educado mas não resolveu meu problema.
218;5-4-26;Campinas;33;Telefone;5.0;5;2;NÃO;29;
311;23/05/2026;Recife;62;whatsapp;3.0;5;1;nao;12;Demorou demais para me atenderem.
330;2026-05-25;Rio de Janeiro;53;Telefone;5.0;5;3;Não;73;Preço alto comparado à concorrência.
242;2026-04-05;Porto Alegre;35;Loja física;5.0;5;3;Sim ;23;
229;5-5-26;Campinas;41;Loja física;2.0;3;3;Sim ;28;Muito satisfeito com a solução.
175;15-5-26;Belo Horizonte;69;telefone;3.0;3;2;nao;5;Preço alto comparado à concorrência.
14;10/05/2026;Fortaleza;18;Loja física;4.0;5;3;NÃO;14;
210;24-4-26;Fortaleza;28;loja fisica;4.0;4;4;nao;19;
158;18-5-26;Salvador;70;Loja física;1.0;1;5;NÃO;47;Atendimento excelente, resolveram rápido.
310;2026-04-01;Rio de Janeiro;26;email;4.0;5;3;nao;2;Atendimento excelente, resolveram rápido.
277;19-4-26;Brasília;29;Telefone;3.0;3;1;nao;91;Muito satisfeito com a solução.
380;9-5-26;Rio de Janeiro;30;email;2.0;2;4;nao;67;Atendente foi educado mas não resolveu meu problema.
162;2026-04-22;Campinas;36;email;4.0;3;1;Não;61;Muito satisfeito com a solução.
216;2026-05-13;Belo Horizonte;36;Chat;4.0;2;3;Sim;45;Poderia melhorar o prazo de resposta.
109;2026-05-03;Campinas;37;Chat;3.0;2;4;Não;26;Tudo certo.
263;1-4-26;Belo Horizonte;66;telefone;5.0;5;3;NÃO;31;Ótima experiência do início ao fim.
334;03/04/2026;Brasília;44;whatsapp;4.0;5;4;Sim;75;Demorou demais para me atenderem.
36;09/04/2026;Recife;71;Telefone;;5;3;sim;82;Preço alto comparado à concorrência.
205;22/04/2026;Rio de Janeiro;43;chat ;4.0;3;5;Não;19;Muito satisfeito com a solução.
100;2026-05-18;Salvador;73;email;4.0;5;4;sim;53;Atendimento excelente, resolveram rápido.
305;21/05/2026;Brasília;43;WhatsApp;4.0;5;3;nao;35;Atendente foi educado mas não resolveu meu problema.
363;2026-04-18;Campinas;57;Telefone;5.0;5;3;Sim ;22;Ótima experiência do início ao fim.
113;10/05/2026;Campinas;41;telefone;3.0;3;3;Não;96;Tudo certo.
174;21-4-26;Salvador;26;chat ;5.0;4;4;Sim ;23;
129;2026-04-22;Fortaleza;22;chat ;3.0;3;3;Sim;17;Preço alto comparado à concorrência.
190;2026-05-17;Campinas;22;chat ;3.0;2;3;nao;60;
392;13-4-26;Campinas;70;chat ;4.0;3;3;sim;88;Não recomendo o suporte por telefone.
302;05/05/2026;Porto Alegre;73;E-mail;5.0;5;3;Sim ;42;Muito satisfeito com a solução.
148;2026-05-25;Belo Horizonte;33;E-mail;4.0;2;3;sim;78;Produto bom, mas a entrega atrasou.
279;22-4-26;Recife;68;telefone;4.0;4;5;NÃO;62;Ótima experiência do início ao fim.
292;12-4-26;Recife;999;E-mail;3.0;3;5;nao;24;Poderia melhorar o prazo de resposta.
99;10-5-26;Campinas;60;E-mail;4.0;3;4;nao;45;Atendente foi educado mas não resolveu meu problema.
119;04/04/2026;São Paulo;37;telefone;4.0;3;3;NÃO;18;Tudo certo.
365;2026-05-09;Curitiba;24;WhatsApp;5.0;5;4;nao;20;Atendimento excelente, resolveram rápido.
420;2026-05-28;Belo Horizonte;22;chat ;4.0;3;3;Não;7;Não recomendo o suporte por telefone.
204;2026-04-02;Brasília;36;WhatsApp;5.0;5;3;NÃO;36;Ótima experiência do início ao fim.
378;2026-05-02;Curitiba;21;Chat;4.0;5;4;Sim;44;Preço alto comparado à concorrência.
61;26-5-26;Belo Horizonte;71;E-mail;4.0;3;2;NÃO;4;Tudo certo.
409;7-5-26;Curitiba;40;Chat;4.0;4;3;NÃO;64;Muito satisfeito com a solução.
335;17-4-26;Recife;22;loja fisica;4.0;3;4;Sim ;17;Muito satisfeito com a solução.
152;3-4-26;Campinas;50;whatsapp;4.0;4;2;Sim ;6;Poderia melhorar o prazo de resposta.
170;15/04/2026;Fortaleza;56;Telefone;3.0;3;2;NÃO;31;Produto bom, mas a entrega atrasou.
12;03/04/2026;Belo Horizonte;58;WhatsApp;3.0;4;2;nao;49;Ótima experiência do início ao fim.
418;17-4-26;Salvador;51;loja fisica;5.0;3;3;Sim ;94;Muito satisfeito com a solução.
201;2026-05-17;Porto Alegre;49;telefone;5.0;4;4;NÃO;59;Muito satisfeito com a solução.
223;21/05/2026;Brasília;47;email;4.0;5;1;Não;21;Poderia melhorar o prazo de resposta.
266;25/05/2026;Porto Alegre;68;whatsapp;5.0;5;4;NÃO;49;Tudo certo.
127;2026-04-04;Fortaleza;67;Loja física;5.0;4;2;nao;65;Muito satisfeito com a solução.
128;20-4-26;Brasília;37;Telefone;3.0;1;2;nao;52;Tudo certo.
257;24-5-26;Porto Alegre;19;WhatsApp;3.0;4;4;sim;14;Demorou demais para me atenderem.
58;15/05/2026;Curitiba;71;WhatsApp;3.0;3;3;NÃO;90;Atendimento excelente, resolveram rápido.
131;2026-04-28;Fortaleza;74;WhatsApp;3.0;3;1;nao;52;Tudo certo.
227;2026-04-24;Salvador;62;Telefone;5.0;5;4;nao;40;Produto bom, mas a entrega atrasou.
329;17/04/2026;Curitiba;69;Telefone;4.0;3;5;Sim;60;Preço alto comparado à concorrência.
75;2026-04-13;Campinas;41;Loja física;5.0;4;2;nao;96;Não recomendo o suporte por telefone.
215;2026-05-23;Fortaleza;40;Chat;4.0;3;3;NÃO;87;Não recomendo o suporte por telefone.
107;6-4-26;Recife;57;whatsapp;4.0;4;3;sim;30;Poderia melhorar o prazo de resposta.
92;2026-05-14;Recife;70;Telefone;4.0;3;4;Não;33;Atendente foi educado mas não resolveu meu problema.
316;10-4-26;Porto Alegre;31;loja fisica;3.0;2;2;Sim ;51;Preço alto comparado à concorrência.
351;19-4-26;Salvador;54;E-mail;3.0;3;4;sim;64;Não recomendo o suporte por telefone.
5;20/05/2026;Fortaleza;52;WhatsApp;4.0;2;1;Não;81;Ótima experiência do início ao fim.
24;2026-04-14;Fortaleza;33;whatsapp;3.0;3;5;NÃO;13;Atendimento excelente, resolveram rápido.
306;2026-05-27;Brasília;54;loja fisica;4.0;4;3;Não;88;Atendimento excelente, resolveram rápido.
271;13-4-26;Brasília;75;loja fisica;4.0;4;5;Sim ;49;Produto bom, mas a entrega atrasou.
180;10-5-26;Recife;28;chat ;3.0;4;2;Sim ;46;Ótima experiência do início ao fim.
2;03/05/2026;São Paulo;23;email;5.0;5;3;Sim;72;Muito satisfeito com a solução.
217;21-5-26;Fortaleza;31;Loja física;4.0;5;5;NÃO;90;Preço alto comparado à concorrência.
191;17/05/2026;Brasília;58;E-mail;4.0;5;3;sim;56;Não recomendo o suporte por telefone.
40;28/04/2026;Recife;19;chat ;3.0;4;4;nao;86;Muito satisfeito com a solução.
112;26/05/2026;Curitiba;57;E-mail;3.0;4;3;Sim ;83;Atendimento excelente, resolveram rápido.
278;15-5-26;Rio de Janeiro;70;whatsapp;3.0;2;2;Não;31;Preço alto comparado à concorrência.
180;10-5-26;Recife;28;chat ;3.0;4;2;Sim ;46;Ótima experiência do início ao fim.
55;2026-05-24;Porto Alegre;66;Chat;5.0;4;4;NÃO;63;
5;20/05/2026;Fortaleza;52;WhatsApp;4.0;2;1;Não;81;Ótima experiência do início ao fim.
105;14-4-26;Rio de Janeiro;46;Chat;5.0;5;5;Sim;42;Atendimento excelente, resolveram rápido.
281;22/05/2026;Campinas;20;WhatsApp;4.0;5;2;Não;56;Demorou demais para me atenderem.
165;10/04/2026;Porto Alegre;46;E-mail;4.0;3;5;Sim;29;Poderia melhorar o prazo de resposta.
106;2026-05-10;Recife;27;Loja física;4.0;5;3;Sim ;24;Produto bom, mas a entrega atrasou.
86;8-5-26;Campinas;60;WhatsApp;3.0;4;2;sim;83;Produto bom, mas a entrega atrasou.
269;04/04/2026;Belo Horizonte;45;Loja física;3.0;3;3;nao;14;Atendimento excelente, resolveram rápido.
376;2026-04-25;Brasília;74;WhatsApp;3.0;3;2;Sim ;63;Ótima experiência do início ao fim.
172;17/05/2026;Brasília;52;Loja física;3.0;3;4;nao;61;Atendimento excelente, resolveram rápido.
252;2026-04-19;Brasília;59;Chat;5.0;4;5;nao;93;
153;2026-04-26;Campinas;48;E-mail;4.0;3;2;nao;14;Atendente foi educado mas não resolveu meu problema.
167;01/05/2026;Salvador;68;E-mail;;2;4;nao;90;Produto bom, mas a entrega atrasou.
7;2026-04-28;Porto Alegre;47;E-mail;3.0;2;5;sim;86;Preço alto comparado à concorrência.
336;2026-05-10;Recife;62;chat ;4.0;5;4;sim;10;Muito satisfeito com a solução.
91;14/05/2026;Fortaleza;40;chat ;5.0;4;4;Sim;21;Atendente foi educado mas não resolveu meu problema.
353;1-5-26;Curitiba;69;chat ;4.0;5;4;Não;8;Atendimento excelente, resolveram rápido.
157;11-4-26;Belo Horizonte;40;WhatsApp;3.0;3;3;Sim ;11;Preço alto comparado à concorrência.
259;2026-05-12;Campinas;33;Chat;4.0;3;2;Sim;84;
222;06/05/2026;São Paulo;37;loja fisica;3.0;2;3;Não;37;Poderia melhorar o prazo de resposta.
83;15-5-26;Recife;37;loja fisica;3.0;2;5;Sim ;13;Muito satisfeito com a solução.
369;2026-05-15;Curitiba;71;loja fisica;5.0;4;4;Sim ;86;Demorou demais para me atenderem.
72;13/05/2026;Fortaleza;72;E-mail;5.0;5;4;Não;34;Atendente foi educado mas não resolveu meu problema.
410;2026-05-23;Curitiba;18;telefone;4.0;5;5;NÃO;86;Poderia melhorar o prazo de resposta.
404;8-4-26;Belo Horizonte;31;loja fisica;5.0;4;2;Sim;47;
88;4-5-26;Porto Alegre;62;Chat;4.0;1;2;nao;57;Demorou demais para me atenderem.
358;2026-04-21;Belo Horizonte;39;email;4.0;4;1;Não;22;
65;2026-04-08;Rio de Janeiro;54;whatsapp;4.0;3;3;Não;22;Ótima experiência do início ao fim.
15;10/04/2026;Salvador;66;Loja física;4.0;4;1;NÃO;1;Ótima experiência do início ao fim.
408;14-4-26;Campinas;25;telefone;4.0;5;3;nao;26;Ótima experiência do início ao fim.
332;01/05/2026;Curitiba;52;Telefone;3.0;2;3;Sim;85;Tudo certo.
19;15/05/2026;Curitiba;32;chat ;;5;2;NÃO;30;Ótima experiência do início ao fim.
379;2026-05-10;Rio de Janeiro;73;E-mail;4.0;5;4;Sim ;57;Atendente foi educado mas não resolveu meu problema.
331;2026-04-24;Salvador;55;email;4.0;2;3;NÃO;32;Produto bom, mas a entrega atrasou.
267;06/05/2026;Campinas;36;telefone;4.0;4;4;sim;49;
349;17-5-26;Curitiba;28;email;4.0;5;4;Não;69;Atendimento excelente, resolveram rápido.
154;23-4-26;Belo Horizonte;20;whatsapp;2.0;4;3;NÃO;21;Atendente foi educado mas não resolveu meu problema.
321;03/04/2026;Brasília;38;loja fisica;5.0;5;3;Sim ;88;
104;11-5-26;São Paulo;57;email;4.0;4;4;Não;30;Demorou demais para me atenderem.
370;3-5-26;Recife;66;email;3.0;3;5;nao;67;Tudo certo.
155;2026-05-12;Recife;67;loja fisica;;3;3;Sim ;83;Atendente foi educado mas não resolveu meu problema.
318;2026-05-01;Belo Horizonte;42;WhatsApp;4.0;3;5;Sim ;23;Poderia melhorar o prazo de resposta.
121;2026-05-20;São Paulo;62;email;4.0;5;3;sim;47;Demorou demais para me atenderem.
390;2026-05-09;Porto Alegre;59;email;4.0;4;4;sim;8;Ótima experiência do início ao fim.
282;2026-04-01;Curitiba;50;Loja física;4.0;4;4;NÃO;29;Poderia melhorar o prazo de resposta.
145;19-5-26;Recife;36;WhatsApp;;5;5;Não;22;Ótima experiência do início ao fim.
6;28-5-26;Curitiba;63;Telefone;3.0;2;3;Não;11;Muito satisfeito com a solução.
45;2026-04-19;São Paulo;63;Telefone;3.0;3;2;NÃO;88;
114;06/04/2026;Brasília;74;Loja física;3.0;2;3;Não;22;Preço alto comparado à concorrência.
135;04/04/2026;Fortaleza;32;chat ;4.0;4;2;Não;15;Preço alto comparado à concorrência.
221;21-4-26;São Paulo;29;E-mail;3.0;3;3;Sim;51;Poderia melhorar o prazo de resposta.
141;2026-04-07;Recife;25;loja fisica;5.0;5;3;Sim ;40;Atendimento excelente, resolveram rápido.
94;20-5-26;Fortaleza;66;email;3.0;3;4;sim;37;Poderia melhorar o prazo de resposta.
102;2026-04-11;Rio de Janeiro;51;Telefone;4.0;4;3;nao;84;Produto bom, mas a entrega atrasou.
211;8-4-26;Rio de Janeiro;30;whatsapp;2.0;3;3;NÃO;27;Tudo certo.
134;2026-04-22;Salvador;73;Telefone;5.0;4;2;NÃO;40;Atendente foi educado mas não resolveu meu problema.
80;2026-05-16;Salvador;29;Chat;4.0;3;4;nao;15;Demorou demais para me atenderem.
411;5-4-26;Rio de Janeiro;64;Chat;3.0;2;3;nao;38;Preço alto comparado à concorrência.
116;24-5-26;Salvador;23;Telefone;4.0;3;1;Sim;59;Atendente foi educado mas não resolveu meu problema.
290;11-5-26;Recife;55;chat ;4.0;5;5;nao;80;Produto bom, mas a entrega atrasou.
396;16-4-26;Campinas;999;telefone;5.0;4;3;sim;65;Demorou demais para me atenderem.
207;2026-04-05;Campinas;38;WhatsApp;4.0;4;2;Sim ;39;Ótima experiência do início ao fim.
185;16-5-26;Rio de Janeiro;34;whatsapp;5.0;5;3;NÃO;37;Poderia melhorar o prazo de resposta.
328;2026-04-14;Curitiba;44;Chat;4.0;3;3;NÃO;48;Demorou demais para me atenderem.
275;2026-04-14;Salvador;56;whatsapp;5.0;5;2;nao;41;Preço alto comparado à concorrência.
243;22-5-26;Fortaleza;21;WhatsApp;4.0;4;2;Não;90;Tudo certo.
338;2026-04-25;Porto Alegre;47;telefone;4.0;5;2;Sim ;39;Ótima experiência do início ao fim.
10;23/05/2026;Fortaleza;43;E-mail;4.0;4;3;sim;96;Não recomendo o suporte por telefone.
46;2026-05-07;Rio de Janeiro;60;loja fisica;5.0;4;3;Sim;93;Preço alto comparado à concorrência.
298;2026-04-18;Rio de Janeiro;65;Chat;4.0;5;4;Sim;58;Preço alto comparado à concorrência.
355;2026-05-04;Salvador;26;WhatsApp;5.0;4;3;nao;84;Atendente foi educado mas não resolveu meu problema.
335;17-4-26;Recife;22;loja fisica;4.0;3;4;Sim ;17;Muito satisfeito com a solução.
37;6-5-26;Recife;53;telefone;4.0;4;1;Sim ;20;Não recomendo o suporte por telefone.
49;2026-05-14;Fortaleza;46;Loja física;4.0;5;2;Sim ;22;
146;15/05/2026;Recife;72;email;4.0;5;1;nao;68;Demorou demais para me atenderem.
123;22-4-26;Campinas;19;chat ;4.0;4;3;sim;73;Muito satisfeito com a solução.
